,Accounts Payable,Adjustments To Net Income,Capital Expenditure,Capital Surplus,Cash And Cash Equivalents,Change In Cash and Cash Equivalents,Changes In Accounts Receivables,Changes In Inventories,Changes In Liabilities,Changes In Other Operating Activities,Common Stock,Cost of Revenue,Deferred Long Term Asset Charges,Deferred Long Term Liability Charges,Depreciation,Discontinued Operations,Dividends Paid,Earnings Before Interest and Taxes,Effect Of Exchange Rate Changes,Goodwill,Gross Profit,Income Before Tax,Income Tax Expense,Intangible Assets,Interest Expense,Inventory,Investments,Long Term Debt,Long Term Investments,Minority Interest,Net Borrowings,Net Income Applicable To Common Shares,Net Income From Continuing Ops,Net Income,Net Receivables,Net Tangible Assets,Operating Income or Loss,Other Assets,Other Cash Flows from Financing Activities,Other Cash flows from Investing Activities,Other Current Assets,Other Current Liabilities,Other Liabilities,Other Stockholder Equity,Others,"Property, plant and equipment",Research Development,Retained Earnings,Selling General and Administrative,Short Term Investments,Short/Current Long Term Debt,Total Assets,Total Cash Flow From Operating Activities,Total Cash Flows From Financing Activities,Total Cash Flows From Investing Activities,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Operating Expenses,Total Other Income/Expenses Net,Total Revenue,Treasury Stock,ask,askSize,averageDailyVolume10Day,averageDailyVolume3Month,bid,bidSize,bookValue,earningsTimestamp,earningsTimestampEnd,earningsTimestampStart,epsForward,epsTrailingTwelveMonths,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,fiftyTwoWeekHigh,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,forwardPE,marketCap,priceHint,priceToBook,regularMarketChange,regularMarketChangePercent,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketPrice,regularMarketTime,regularMarketVolume,sharesOutstanding,sourceInterval,Total stockholders' equity,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,turnover,debtToEquity,returnOnEquity,priceToRevenue
HSII,9166,6736,-5960,227147,279906,72100,-16759,,-2425,52776,-,506349,34830,,12522,,-10181,70142,-5565,122092,209674,70492,21197,2216,,,794,,,,,49295,49295,49295,142572,142848,70142,91583,-4573,,5623,82132,114522,4062,,33871,,56049,139532,,,700629,102902,-16988,-8249,450867,318951,433473,645881,350,716023,-16236,27.84,8,100866,116804,27.7,8,15.08,1564444800,1572624000.0,1572274740.0,2.55,2.748,27.131714,0.58828545,0.021682575,44.66,-16.94,-0.37931037,25.27,2.4499989,0.09695286,10.870588,530333472,2,1.8381963,-0.10000038,-0.35945502,28.23,27.14,28.23,27.82,27.72,1569336355,18849,19131800,15,267156,0.56,0.020129403,10.087337,32.720654,-5.000654,-0.15282868,0.0061052279450966454,1.6225463773974755,0.184517660093728,740.665414379147
JOUT,34160,4784,-19152,75025,121877,58067,5409,-10495,8432,1396,-,302408,11748,,9358,,-4350,63021,-404,11199,241860,68106,27437,12341,-203,88864,17893,,,,,40669,40669,40669,40866,255657,63021,30768,-,,5373,16238,23955,3487,,55934,20441,202828,158398,28714,,395936,63358,-4935,48,285694,92784,116739,481247,5085,544268,841,56.91,8,41466,54115,56.35,8,32.378,1564763400,1575916200.0,1575570600.0,4.27,4.231,58.04114,-0.84114075,-0.014492147,96.69,-39.49,-0.40841866,54.12,3.0800018,0.056910604,13.395784,570478464,2,1.7666317,-0.13000107,-0.22675923,57.56,56.15,57.37,57.33,57.2,1569336133,10813,8838460,15,279197,0.56,0.009768009,13.519263,70.24029,-13.040287,-0.18565252,0.0061226729543382,0.418124120244845,0.14566417260930453,1048.1572754598837
KAI,35720,6620,-16559,104731,45830,-30729,-18366,-6577,5419,-8092,-,355505,15428,1735,23568,,-9644,90644,-3195,258174,278281,79528,18482,113347,-7032,86373,,172405,148,1603,-59587,60413,61046,60413,108365,1447,90644,21162,-1851,,12193,60699,47684,-39376,,80157,10552,393578,177085,,1668,725749,62985,-74155,-16364,252761,128989,351178,543142,-11116,633786,-125487,86.79,8,44533,67409,86.3,40,35.425,1564585200,1509739200.0,1509393600.0,6.04,5.637,83.51228,2.838417,0.033988018,109.45,-23.099297,-0.21104886,76.44,9.910698,0.12965329,14.2964735,972334784,2,2.437564,-1.0292969,-1.1779548,87.67,85.94,86.95,86.96,86.3507,1569336352,7307,11260300,15,372968,0.9,0.010349586,15.318556,87.79703,-1.4463272,-0.016473534,0.005986430201682016,0.9415767572553141,0.16197904377855474,1534.168921370936
KALU,121400,73800,-74100,1059300,125600,75300,-21600,-45000,29200,-22800,-,1300700,35900,,43900,,-37700,139500,,44000,285200,120000,28300,32400,-22700,215100,147800,370400,,,-700,91700,91700,91700,260300,664000,139500,76100,,,3700,24700,97400,-48800,,610200,,150200,101800,36700,,1419300,150200,-106000,31100,-,205500,678900,1446400,-19500,1585900,-469300,97.25,8,159983,118001,97.05,9,46.792,1564012800,1571673600.0,1571151540.0,7.85,5.577,93.01943,4.24057,0.045588,114.99,-17.729996,-0.15418729,83.29,13.970001,0.16772723,12.38981,1556451840,2,2.0785606,-0.73999786,-0.75509983,98.23,96.99,98.19,98.0,97.26,1569336321,12568,16003000,15,740400,2.35,0.023979591,17.439484,96.75681,0.5031891,0.0052005546,0.007373679935012185,0.916936790923825,0.12385197190707725,981.4312630052336
KBR,546000,-106000,-17000,2190000,739000,300000,-178000,,52000,10000,,4457000,222000,,63000,,-44000,290000,-28000,1265000,456000,398000,88000,516000,-66000,,-,1243000,744000,20000,855000,279200,310000,281000,1141000,-63000,290000,467000,-156000,2000,30000,579000,672000,-913000,,121000,,1258000,166000,,32000,5072000,165000,654000,-491000,1959000,1419000,3334000,4623000,108000,4913000,-1730000,25.46,8,1246450,1086157,25.44,9,12.533,1564590600,1572625800.0,1572280200.0,1.97,1.335,25.376,0.083999634,0.0033102,26.85,-1.3900013,-0.051769134,13.9,11.559999,0.83165467,12.923858,3603990272,2,2.031437,0.13999939,0.5529202,25.6096,25.44,25.44,25.32,25.46,1569336360,66551,141555008,15,1718000,0.32,0.012638231,19.07116,23.28384,2.176159,0.0934622,0.00767303831454695,1.940628637951106,0.16356228172293363,733.5620337879096
KMT,212908,34053,-212343,528827,182015,-374138,17323,-53387,-49378,-11082,103026,1541238,20507,,112052,,-65746,331434,-1744,300011,833996,311235,63359,160998,-32994,571576,,592474,,39532,-400889,241925,247876,241925,379855,874163,331434,69538,-4583,-381,57381,109120,227365,-373543,,934895,,1076862,488151,,,2656269,300519,-471432,-201481,1190827,461726,1281565,2043800,-20199,2375234,-373543,30.61,8,679416,826342,30.58,8,16.199,1565049600,1573232400.0,1572883140.0,3.19,2.9,30.152287,0.3977127,0.013190134,45.05,-14.5,-0.3218646,27.49,3.0599995,0.11131319,9.576802,2530401536,2,1.8859189,-0.1800003,-0.58574784,30.98,30.43,30.67,30.73,30.55,1569336330,57027,82828200,15,1335172,0.8,0.026033193,10.534482,34.432102,-3.882103,-0.11274661,0.009976578025358514,0.9598501166890857,0.18119388363446806,1065.3272629138855
KRO,119900,49800,-56300,1399100,373300,51000,8700,-135500,16400,10800,-,1099700,122000,900,49700,,-78800,305200,-14400,,562200,293800,88800,,-19500,497900,,455100,84700,,-1500,205000,205000,205000,312500,839800,305200,125600,-100,13600,1400,54400,369800,-424300,-800,486400,,-136200,257800,,1500,1898100,188500,-80400,-42700,1201400,233400,1058300,1356700,-11400,1661900,-424300,12.34,8,230633,289965,12.3,8,7.495,1565208916,1573491600.0,1572969540.0,1.38,1.004,11.335143,0.97485733,0.08600309,17.14,-4.829999,-0.2817969,9.65,2.6600008,0.27564776,8.92029,1425571968,2,1.6424284,-0.16999912,-1.3621725,12.5,12.31,12.5,12.48,12.31,1569336340,70846,115806000,15,839800,0.7,0.056089744,12.260957,13.279782,-0.9697819,-0.07302694,0.002503885809025439,1.260180995475113,0.2441057394617766,857.7964787291654
LBRT,80490,138964,-258835,312659,103312,86991,11978,-4610,-26498,-32771,1136,1628753,,,125110,,-,302221,,,526383,289418,40385,,-17145,60024,,106139,,-,-92847,126349,249033,135054,247961,433069,302221,28227,-25724,,,67771,49812,,,627053,,119274,99052,,385,1116501,351258,-8775,-255492,461221,219736,375687,1852915,-12803,2155136,,11.03,8,1212750,823335,11.01,13,6.893,1564531200,,,1.38,1.34,11.156286,-0.09128666,-0.008182531,23.51,-12.445001,-0.5293492,9.85,1.2149992,0.123350166,8.018116,1245078016,2,1.6052517,-0.015000343,-0.13538216,11.13,10.96,11.09,11.08,11.065,1569336420,121622,75144096,15,433069,0.2,0.018050542,8.2574625,14.072754,-3.0077543,-0.2137289,0.010956749017248142,0.8674991744964429,0.3118533074406157,577.7259606818317
LTC,,-75351,,862712,2656,-449,-5682,,,1940,397,84,,17432,37555,,-90372,109550,,,166385,155076,,,-30196,,-670,645029,30615,7481,-22666,154356,155076,154981,107304,825490,109550,260371,-465,3724,9923,,,-37619,,1102751,,,19193,,,1513620,115535,-112375,-3609,119883,35620,680649,56919,48390,166469,-37619,50.59,8,226483,193767,50.52,8,19.603,1565308800,1573232400.0,1572883140.0,2.19,2.667,48.902573,1.712429,0.035017155,51.14,-0.5249977,-0.010265892,40.11,10.505001,0.26190478,23.111872,2012057728,2,2.5820026,0.36500168,0.7263715,50.6399,50.3317,50.49,50.25,50.615,1569336341,27194,39752200,15,825490,2.28,0.045373134,18.978252,46.445217,4.1697845,0.08977856,0.004874371732885224,0.8245393644986614,0.1877442488703679,12086.681171869837
MATW,70044,-22371,-43200,129252,41572,-15943,-790,-2869,2516,-3284,-,1018230,1837,,76974,,-24637,135834,-2082,948894,584350,97993,-9118,443910,-37427,180451,-2776,929342,52872,363,53022,107371,107111,107371,331463,-524453,135834,60611,-,,59070,150764,273286,-164298,,252775,,1040378,416954,,31260,2375485,147574,901,-162336,616423,304143,1506771,1466746,-37841,1602580,-337613,34.79,8,229216,133231,34.66,8,26.894,1564704000,1574096400.0,1573660740.0,3.64,1.984,31.884857,3.1851425,0.09989515,50.6,-15.529999,-0.30691698,28.57,6.5,0.22751138,9.634615,1104301696,2,1.3040084,0.7750015,2.2598093,35.145,34.3,34.3,34.295,35.07,1569336071,63706,31488500,15,868351,0.8,0.023327017,17.67641,35.00949,0.060508728,0.0017283522,0.004231100242945838,1.735209609938838,0.12364930771082201,689.0774226559672
