Ticker,Name,Price,Dividend Yield,Market Cap,P/E Ratio,Payout Ratio,Beta,EV/EBIT Ratio
PRAA,"PRA Group, Inc.",35.22,0.0,1599,27.2,0.0,1.0,20.1
PRFT,"Perficient, Inc.",37.96,0.0,1247,41.0,0.0,0.9,28.2
PRGS,Progress Software Corp.,40.04,0.015,1791,34.2,0.516,1.0,25.2
PRIM,Primoris Services Corp.,20.13,0.012,1026,12.1,0.145,0.9,9.0
PRK,Park National Corp.,98.53,0.04,1617,15.9,0.634,0.7,4.8
PRSP,"Perspecta, Inc.",26.3,0.0,4268,58.4,0.0,0.9,16.6
PRTY,"Party City Holdco, Inc.",5.96,0.0,563,5.0,0.0,0.9,9.7
PSDO,"Presidio, Inc.",15.96,0.01,1328,38.9,0.39,0.7,20.3
PSMT,"PriceSmart, Inc.",60.34,0.012,1843,25.7,0.298,0.9,16.2
PSN,Parsons Corp.,34.93,0.0,3473,34.1,0.0,0.0,15.4
PTSI,"P.A.M. Transportation Services, Inc.",58.18,0.0,335,10.7,0.0,0.7,10.3
PUB,People's Utah Bancorp,29.29,0.015,551,12.9,0.198,0.8,0.8
PUMP,ProPetro Holding Corp.,9.45,0.0,949,4.2,0.0,1.4,4.0
PVAC,Penn Virginia Corp.,32.75,0.0,495,2.1,0.0,1.7,3.6
PZN,"Pzena Investment Management, Inc.",8.87,0.014,622,11.9,0.161,0.9,8.2
QCRH,"QCR Holdings, Inc.",38.41,0.006,606,12.4,0.077,0.9,1.9
QDEL,Quidel Corp.,64.19,0.0,2660,36.6,0.0,1.5,27.3
QLYS,"Qualys, Inc.",78.07,0.0,3063,45.4,0.0,1.5,40.9
QNST,"QuinStreet, Inc.",12.65,0.0,645,10.0,0.0,1.5,46.6
RAVN,"Raven Industries, Inc.",34.44,0.015,1237,32.7,0.494,1.1,23.5
RBB,RBB Bancorp,19.61,0.019,394,9.6,0.187,0.9,2.9
RBBN,"Ribbon Communications, Inc.",5.78,0.0,636,117.7,0.0,1.0,31.4
RBCAA,"Republic Bancorp, Inc. (Kentucky)",45.14,0.022,946,12.2,0.274,0.9,7.1
RC,Ready Capital Corp.,16.32,0.098,725,8.3,0.8170000000000001,0.4,15.2
RCII,"Rent-A-Center, Inc.",25.69,0.0,1394,11.9,0.0,0.4,8.3
RDI,"Reading International, Inc.",12.9,0.0,293,45.1,0.0,0.5,32.0
RDN,Radian Group Inc.,23.95,0.0,4869,8.2,0.003,1.2,5.5
RDNT,"RadNet, Inc.",14.98,0.0,751,20.6,0.0,0.9,15.9
RECN,"Resources Connection, Inc.",17.72,0.029,567,17.9,0.525,0.9,10.5
RES,"RPC, Inc.",5.7,0.061,1223,17.9,1.098,1.1,12.0
REXR,"Rexford Industrial Realty, Inc.",44.12,0.016,4842,109.3,1.71,0.6,74.0
RGEN,Repligen Corp.,81.79,0.0,4215,137.2,0.0,1.4,113.1
RGR,"Sturm, Ruger & Co., Inc.",42.16,0.027000000000000003,737,18.0,0.479,0.6,10.5
RHP,"Ryman Hospitality Properties, Inc.",82.1,0.043,4223,16.2,0.69,0.8,17.6
RILY,"B. Riley Financial, Inc.",24.94,0.013,673,27.1,0.34700000000000003,0.9,9.3
RLGT,"Radiant Logistics, Inc.",5.21,0.0,259,18.8,0.0,1.0,10.4
RLGY,Realogy Holdings Corp.,6.11,0.059,699,15.8,0.932,1.0,10.6
RLI,RLI Corp.,92.07,0.01,4124,32.9,0.318,0.7,27.8
RLJ,RLJ Lodging Trust,17.3,0.076,2978,22.2,1.692,0.9,17.9
RM,Regional Management Corp.,27.72,0.0,318,9.3,0.0,0.7,11.9
RMAX,"RE/MAX Holdings, Inc.",28.47,0.029,508,18.5,0.532,0.9,2.6
RMR,"The RMR Group, Inc.",45.29,0.029,1415,9.9,0.28300000000000003,1.4,3.5
RNST,Renasant Corp.,35.01,0.024,2040,11.9,0.28600000000000003,1.0,1.8
ROAD,"Construction Partners, Inc.",16.0,0.0,829,19.7,0.0,0.8,15.1
ROCK,"Gibraltar Industries, Inc.",46.2,0.0,1489,25.2,0.0,0.7,14.6
ROIC,Retail Opportunity Investments Corp.,18.39,0.043,2102,46.9,1.997,0.6,32.2
RPT,RPT Realty,13.21,0.067,1059,89.3,5.9460000000000015,0.6,32.0
RRR,"Red Rock Resorts, Inc.",21.24,0.019,2490,47.3,0.8909999999999999,1.5,29.1
RTEC,"Rudolph Technologies, Inc.",25.65,0.0,798,28.3,0.0,1.1,17.3
RUSHA,"Rush Enterprises, Inc.",39.1,0.012,1421,8.8,0.109,0.8,12.5
RUSHB,"Rush Enterprises, Inc.",40.78,0.012,1482,9.2,0.109,0.8,12.6
RUTH,"Ruth's Hospitality Group, Inc.",19.75,0.024,594,13.9,0.338,0.6,11.9
RVI,"Retail Value, Inc.",37.36,0.0,712,56.5,0.0,0.5,21.2
RWT,"Redwood Trust, Inc.",16.58,0.07200000000000001,1858,12.1,0.879,0.3,24.4
RXN,Rexnord Corp.,27.64,0.0,2926,45.0,0.0,1.5,11.5
RYI,Ryerson Holding Corp.,8.91,0.0,337,2.7,0.0,1.4,5.6
SAFE,Safehold Inc.,29.58,0.02,1196,33.5,0.685,0.5,38.3
SAH,"Sonic Automotive, Inc.",28.81,0.011,1243,11.7,0.13,1.0,10.9
SAIA,"Saia, Inc.",93.01,0.0,2410,21.3,0.0,1.1,16.1
SAIC,Science Applications International Corp.,84.36,0.016,4992,29.8,0.48,1.1,28.2
SALT,"Scorpio Bulkers, Inc.",6.15,0.013,446,17.4,0.226,1.5,12.6
SANM,Sanmina Corp.,31.76,0.0,2210,17.2,0.0,1.3,9.2
SASR,"Sandy Spring Bancorp, Inc.",35.49,0.032,1264,11.2,0.358,0.8,2.9
SAVE,"Spirit Airlines, Inc.",38.03,0.0,2603,7.2,0.0,1.1,6.4
SBCF,Seacoast Banking Corp. of Florida,25.72,0.0,1324,16.5,0.0,1.1,2.1
SBH,"Sally Beauty Holdings, Inc.",14.33,0.0,1727,6.7,0.0,0.8,6.7
SBRA,"Sabra Health Care REIT, Inc.",22.69,0.079,4300,199.0,15.789,0.6,40.4
SBT,"Sterling Bancorp, Inc. (Michigan)",10.12,0.004,511,8.7,0.035,0.9,5.1
SCHL,Scholastic Corp.,39.96,0.015,1393,79.3,1.1909999999999998,0.9,32.9
SCHN,"Schnitzer Steel Industries, Inc.",23.53,0.032,630,6.2,0.197,1.2,7.1
SCL,Stepan Co.,96.32,0.01,2173,21.3,0.215,0.9,15.1
SCS,"Steelcase, Inc.",18.39,0.03,2153,16.0,0.486,0.8,10.6
SCSC,"ScanSource, Inc.",30.18,0.0,762,13.4,0.0,1.2,11.3
SCVL,"Shoe Carnival, Inc.",32.22,0.01,473,12.2,0.123,1.2,7.7
SEAS,"SeaWorld Entertainment, Inc.",27.01,0.0,2125,22.9,0.0,0.9,17.6
SEM,Select Medical Holdings Corp.,16.98,0.0,2303,16.1,0.0,0.8,12.4
SF,Stifel Financial Corp.,57.3,0.009000000000000001,3987,10.0,0.094,1.3,2.5
SFBS,"ServisFirst Bancshares, Inc.",33.3,0.017,1783,12.6,0.211,1.0,2.0
SFE,"Safeguard Scientifics, Inc.",12.35,0.0,255,3.5,0.0,0.7,2.1
SFIX,"Stitch Fix, Inc.",19.64,0.0,1981,40.2,0.0,1.6,53.0
SFL,Ship Finance International Ltd.,14.1,0.099,1517,16.0,1.587,0.8,11.9
SFLY,"Shutterfly, Inc.",50.9,0.0,1751,203.8,0.0,0.8,40.0
SFNC,Simmons First National Corp.,25.41,0.024,2455,11.1,0.27,1.0,2.1
SFST,"Southern First Bancshares, Inc.",41.22,0.0,312,12.4,0.0,0.6,3.3
SGH,"SMART Global Holdings, Inc.",32.11,0.0,741,9.6,0.0,1.4,6.3
SHEN,Shenandoah Telecommunications Co. (Virginia),32.27,0.0,1609,27.9,0.0,0.9,20.6
SHO,"Sunstone Hotel Investors, Inc.",13.9,0.05,3126,14.9,0.74,0.8,11.9
SHOO,Steven Madden Ltd.,34.36,0.016,2916,20.0,0.322,1.3,13.7
SIC,"Select Interior Concepts, Inc.",13.34,0.0,334,1515.9,0.0,0.5,28.7
SIEB,Siebert Financial Corp.,9.61,0.0,261,24.9,0.0,1.1,44.1
SIGA,"SIGA Technologies, Inc.",5.55,0.0,450,1.0,0.0,1.2,0.9
SIGI,"Selective Insurance Group, Inc.",74.39,0.01,4417,18.7,0.197,0.7,15.8
SITE,"SiteOne Landscape Supply, Inc.",74.48,0.0,3069,44.6,0.0,1.1,33.4
SJI,"South Jersey Industries, Inc.",32.31,0.035,2985,40.6,1.436,0.5,30.5
SJW,SJW Group,67.9,0.017,1931,37.0,0.632,0.4,25.8
SKT,"Tanger Factory Outlet Centers, Inc.",15.71,0.08900000000000001,1470,20.3,1.811,0.6,21.1
SKYW,"Sky West, Inc.",58.64,0.008,2986,9.3,0.07,1.2,9.6
SLP,"Simulations Plus, Inc.",37.2,0.006,652,82.7,0.5329999999999999,1.0,58.4
SM,SM Energy Co.,10.83,0.009000000000000001,1222,26.0,0.24,2.1,17.8
SMBC,"Southern Missouri Bancorp, Inc.",37.19,0.014,342,11.8,0.165,0.6,2.8
SMBK,"SmartFinancial, Inc.",21.44,0.0,299,11.9,0.0,0.7,0.5
SMMF,"Summit Financial Group, Inc. (West Virginia)",27.18,0.021,339,11.3,0.233,0.8,3.3
SMP,"Standard Motor Products, Inc.",47.63,0.018000000000000002,1063,21.0,0.389,0.9,12.0
SMPL,The Simply Good Foods Co.,29.23,0.0,2392,42.5,0.0,1.0,29.6
SMTC,Semtech Corp.,46.67,0.0,3105,69.7,0.0,1.8,30.6
SNBR,Sleep Number Corp.,43.15,0.0,1265,18.4,0.0,1.4,13.7
SOI,"Solaris Oilfield Infrastructure, Inc.",13.6,0.022,647,7.5,0.165,1.4,6.6
SONA,"Southern National Bancorp of Virginia, Inc.",15.57,0.022,376,11.7,0.256,0.6,4.3
SONO,"Sonos, Inc.",14.91,0.0,1585,62.2,0.0,1.3,41.2
SP,SP Plus Corp.,37.44,0.0,859,17.4,0.0,0.8,13.6
SPAR,"Spartan Motors, Inc.",13.66,0.006999999999999999,482,40.2,0.294,0.7,28.0
SPSC,"SPS Commerce, Inc.",48.52,0.0,1693,54.6,0.0,1.1,45.4
SPTN,SpartanNash Co.,11.9,0.062,432,96.2,5.982,0.9,24.4
SPXC,SPX Corp.,40.8,0.0,1797,26.8,0.0,1.2,21.6
SR,"Spire, Inc. (Missouri)",86.27,0.027000000000000003,4383,22.9,0.62,0.4,22.3
SRCE,1st Source Corp.,46.82,0.022,1196,14.0,0.31,0.9,1.4
SRDX,"SurModics, Inc.",46.55,0.0,628,274.3,0.0,1.4,70.2
SRI,"Stoneridge, Inc.",31.0,0.0,849,11.7,0.0,0.9,9.6
SSB,South State Corp.,76.05,0.02,2597,15.0,0.294,0.9,2.7
SSD,"Simpson Manufacturing Co., Inc.",68.44,0.013,3058,25.4,0.33,0.9,16.8
SSP,The E.W. Scripps Co.,13.32,0.015,1077,32.7,0.491,1.1,22.4
SSTK,"Shutterstock, Inc.",36.74,0.08199999999999999,1297,38.8,3.1710000000000003,1.0,28.5
STAA,STAAR Surgical Co.,29.91,0.0,1332,168.4,0.0,1.8,126.2
STBA,"S&T Bancorp, Inc.",37.07,0.029,1277,12.0,0.344,0.8,7.6
STC,Stewart Information Services Corp.,36.79,0.033,872,21.0,0.684,0.5,10.4
STMP,"Stamps.com, Inc.",71.44,0.0,1226,12.1,0.0,1.3,7.6
STRL,"Sterling Construction Co., Inc.",13.18,0.0,349,14.5,0.0,1.1,7.5
STXB,"Spirit of Texas Bancshares, Inc.",21.32,0.0,337,17.1,0.0,0.3,2.2
SUM,"Summit Materials, Inc.",22.02,0.0,2468,124.6,0.0,1.5,21.7
SUPN,"Supernus Pharmaceuticals, Inc.",29.42,0.0,1543,14.7,0.0,1.3,9.1
SWM,"Schweitzer-Mauduit International, Inc.",37.21,0.047,1150,13.3,0.626,0.9,10.9
SWX,"Southwest Gas Holdings, Inc.",91.51,0.023,4971,24.1,0.555,0.4,19.9
SXC,"SunCoke Energy, Inc.",6.4,0.0,584,16.3,0.0,1.5,12.7
SXI,Standex International Corp.,73.96,0.011,920,19.6,0.207,1.1,12.6
SXT,Sensient Technologies Corp.,68.88,0.02,2915,19.8,0.405,0.8,17.7
SYBT,"Stock Yards Bancorp, Inc.",37.76,0.027000000000000003,858,14.1,0.377,0.7,4.6
SYKE,"Sykes Enterprises, Inc.",30.99,0.0,1289,24.3,0.0,0.9,16.0
SYNH,"Syneos Health, Inc.",54.92,0.0,5683,343.7,0.0,1.5,38.4
SYX,"Systemax, Inc.",21.82,0.021,818,21.9,0.461,1.2,9.6
TACO,"Del Taco Restaurants, Inc.",10.47,0.0,388,26.5,0.0,0.6,19.0
TALO,"Talos Energy, Inc.",24.02,0.0,1302,4.3,0.0,1.5,4.1
TBI,"TrueBlue, Inc.",20.91,0.0,838,12.3,0.0,1.1,9.6
